<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MDMG;60;17/10/24;110000;885.9;890;883.9;884.6;12713
MDMG;60;17/10/24;120000;884.6;885.9;884.5;885.1;12749
MDMG;60;17/10/24;130000;885.1;885.9;881.5;882;8394
MDMG;60;17/10/24;140000;881.9;882;873.5;879.3;10033
MDMG;60;17/10/24;150000;879;880;874.3;875.8;4639
MDMG;60;17/10/24;160000;875.8;880.4;875.8;880.1;3055
MDMG;60;17/10/24;170000;880;880.7;878.7;880.5;1980
MDMG;60;17/10/24;180000;880.5;880.7;877.4;879.8;4473
MDMG;60;17/10/24;190000;880;880.3;870.3;870.3;5567
MDMG;60;18/10/24;110000;872.2;872.4;862.6;864.8;20996
MDMG;60;18/10/24;120000;864.8;867.9;864.4;866.9;5111
MDMG;60;18/10/24;130000;866.8;866.9;864.7;866.4;3017
MDMG;60;18/10/24;140000;866.3;866.9;863;863.2;4003
MDMG;60;18/10/24;150000;863.8;866;854.1;858.8;14830
MDMG;60;18/10/24;160000;858.9;860.9;858;860.9;7014
MDMG;60;18/10/24;170000;860.9;867.3;860.1;865.2;6315
MDMG;60;18/10/24;180000;865.4;866.8;857;865.3;8711
MDMG;60;18/10/24;190000;865.3;865.4;861.7;861.7;2188
MDMG;60;21/10/24;110000;866;870;861.8;863.9;11727
MDMG;60;21/10/24;120000;863.9;867.6;863.8;865.3;7890
MDMG;60;21/10/24;130000;865;865.7;863;864.4;9025
MDMG;60;21/10/24;140000;864.4;866;862.8;862.9;4527
MDMG;60;21/10/24;150000;862.9;864.4;859;859.7;7336
MDMG;60;21/10/24;160000;860;861;859.6;860.3;2169
MDMG;60;21/10/24;170000;860.3;864.2;860.3;864;18782
MDMG;60;21/10/24;180000;863.9;864.5;861.4;863.5;2820
MDMG;60;21/10/24;190000;863.5;867.6;862.3;864.2;7863
MDMG;60;22/10/24;110000;864.4;870;860.7;866;21658
MDMG;60;22/10/24;120000;865.6;866.9;864;864.1;3735
MDMG;60;22/10/24;130000;864.1;864.9;864;864.1;6962
MDMG;60;22/10/24;140000;864.1;868;864;866.5;6533
MDMG;60;22/10/24;150000;866.8;866.9;865;865.3;4750
MDMG;60;22/10/24;160000;865.6;866.1;865;865.1;5289
MDMG;60;22/10/24;170000;865;866;860.3;862.7;41189
MDMG;60;22/10/24;180000;864.4;864.5;860.1;860.1;2360
MDMG;60;22/10/24;190000;860.1;860.7;841;846.2;20432
MDMG;60;23/10/24;110000;847;848.9;829.8;834.7;27160
MDMG;60;23/10/24;120000;834.6;838;820.2;837.2;34232
MDMG;60;23/10/24;130000;837.2;846;835.5;844.3;9434
MDMG;60;23/10/24;140000;844.3;845;843;844;2820
MDMG;60;23/10/24;150000;844;845;843;843.5;7757
MDMG;60;23/10/24;160000;843.5;844.7;843;843.3;3123
MDMG;60;23/10/24;170000;843.3;846;843;844.9;7166
MDMG;60;23/10/24;180000;845;846.7;843.7;844.6;1256
MDMG;60;23/10/24;190000;844.9;846.2;844.9;846;3397
MDMG;60;24/10/24;110000;846;846.9;831.5;836;7715
MDMG;60;24/10/24;120000;836;860;835.2;851.1;11515
MDMG;60;24/10/24;130000;850.9;852.9;846;849;10013
MDMG;60;24/10/24;140000;849;851.3;847.5;849.6;2683
MDMG;60;24/10/24;150000;849.7;850;846.9;847.8;2611
MDMG;60;24/10/24;160000;847.8;849.1;847;847.9;3192
MDMG;60;24/10/24;170000;847.8;851.2;847;851.2;2292
MDMG;60;24/10/24;180000;851.6;857;851.2;853.8;8294
MDMG;60;24/10/24;190000;854.4;856;853.2;855.9;3625
MDMG;60;25/10/24;110000;856.2;856.9;849.3;850.7;4625
MDMG;60;25/10/24;120000;850.7;857.5;850.6;854.5;18844
MDMG;60;25/10/24;130000;854.7;863.1;853.6;855.1;13019
MDMG;60;25/10/24;140000;855.9;858.5;838.8;855.9;14664
MDMG;60;25/10/24;150000;855.9;860.4;854;855.6;11692
MDMG;60;25/10/24;160000;855.6;859.3;855.6;858.2;4822
MDMG;60;25/10/24;170000;858.1;858.2;833;834.5;15568
MDMG;60;25/10/24;180000;834;845.8;830;843.5;11359
MDMG;60;25/10/24;190000;844.4;847.2;839.9;841.6;3508
MDMG;60;28/10/24;110000;837;844.5;824.2;832;22063
MDMG;60;28/10/24;120000;831.9;842;831.3;841.2;10575
MDMG;60;28/10/24;130000;842;843.6;837.5;839.1;3966
MDMG;60;28/10/24;140000;839.3;839.4;835.1;838.7;3254
MDMG;60;28/10/24;150000;838.5;838.9;832;833;4247
MDMG;60;28/10/24;160000;832.9;833.6;826.3;827;8941
MDMG;60;28/10/24;170000;826.6;828.5;820;820;17655
MDMG;60;28/10/24;180000;820.2;823.8;818;823.5;5661
MDMG;60;28/10/24;190000;823.5;824.8;815;815.8;7549
MDMG;60;29/10/24;110000;816.6;829.4;816;823;29204
MDMG;60;29/10/24;120000;823;823;810.6;817.4;16053
MDMG;60;29/10/24;130000;817.4;820.4;806.3;819.8;16679
MDMG;60;29/10/24;140000;819.6;823;816.4;822.9;10799
MDMG;60;29/10/24;150000;822.7;837.9;822;837.8;18822
MDMG;60;29/10/24;160000;837.5;838.9;833.2;836.1;10896
MDMG;60;29/10/24;170000;836.1;838;834.1;838;15830
MDMG;60;29/10/24;180000;837.9;839;837.5;838.7;5353
MDMG;60;29/10/24;190000;838.7;840;827.4;831.3;9508
MDMG;60;30/10/24;110000;841.1;970;841;873.1;270422
MDMG;60;30/10/24;120000;873.1;876;866.5;874.5;71678
MDMG;60;30/10/24;130000;874.5;876.7;868.5;870;46036
MDMG;60;30/10/24;140000;870;871.3;867.7;868.4;22078
MDMG;60;30/10/24;150000;868.2;889.8;860.2;880.4;130042
MDMG;60;30/10/24;160000;879.7;893.5;876.6;878.6;103537
MDMG;60;30/10/24;170000;879.6;881.4;865;866.9;68683
MDMG;60;30/10/24;180000;867;870;851.6;865.7;50412
MDMG;60;30/10/24;190000;866.1;874.1;866.1;867.7;15180
MDMG;60;31/10/24;110000;873.1;879.8;853.7;873.7;42914
MDMG;60;31/10/24;120000;873.4;878;864.1;870;19849
MDMG;60;31/10/24;130000;870;874;853;859.7;36391
MDMG;60;31/10/24;140000;859.6;861.8;852.1;858.7;7391
MDMG;60;31/10/24;150000;859.3;866.7;859.2;864.8;6536
MDMG;60;31/10/24;160000;864.8;865.4;858.3;859.9;3263
MDMG;60;31/10/24;170000;859.8;860.1;855;855.4;4043
